,GWP100,LT,RE,lip,sol,,
4208,2.664245],1.4068415],-0.6711032],0.1090128],-4.386135],,
2741,2.664275],1.4000834],-0.67380524],0.11183389],-4.5323915],,
2255,2.6642764],1.2998562],-0.67435503],0.11137374],-4.542298],,
10682,2.6642916],1.2545139],-0.636745],0.19252379],-5.180592],,
2903,2.6644733],1.3538369],-0.62068164],0.11270751],-4.6339526],,
770,2.6645608],1.2303976],-0.629097],0.10342409],-4.348846],,
5363,2.6645687],1.3098127],-0.6759677],0.24460639],-4.9366355],,
950,2.6645715],1.1210822],-0.6018775],0.10517175],-4.4538317],,
1589,2.6645842],1.483492],-0.63529754],0.04202302],-4.4038653],,
11714,2.6646976],1.4768127],-0.6727807],0.11541767],-4.705216],,
10634,2.664717],1.4496425],-0.62409544],0.04862417],-4.824223],,
8051,2.664757],1.2983485],-0.67956483],0.12026162],-4.9651484],,
2714,2.6648147],1.3738102],-0.63677883],0.11231793],-4.629873],,
12956,2.6648662],1.4857899],-0.6722166],0.11256458],-4.6738696],,
7433,2.6648748],1.2681009],-0.63835126],0.1262377],-5.1744485],,
4505,2.6648996],1.6154567],-0.64490324],0.04795463],-4.689594],,
2201,2.6650927],1.2972547],-0.6782918],0.11127485],-4.4361396],,
5180,2.6651194],1.5121704],-0.6476811],0.0483634],-4.6915193],,
4295,2.6651528],1.2479678],-0.6612169],0.10945214],-4.5627513],,
10595,2.6652906],1.378866],-0.57980967],0.06776781],-5.1550403],,
5309,2.6653535],1.2499621],-0.6792353],0.24083306],-4.949907],,
3392,2.665386],1.1779419],-0.641168],0.14561416],-4.893434],,
6557,2.665406],1.4046358],-0.6837724],0.11654891],-4.664562],,
1913,2.6654065],1.4584998],-0.6361147],0.04271848],-4.43256],,
3068,2.6654305],1.2132858],-0.69203943],0.20930089],-4.861661],,
12821,2.665466],1.4152361],-0.64380515],0.11602332],-4.8200593],,
4580,2.6654694],1.3784474],-0.6929351],0.24392451],-4.9420652],,
11861,2.665519],1.2546927],-0.6797219],0.12588693],-5.168924],,
2336,2.665537],1.288764],-0.6371606],0.11216225],-4.62902],,
4952,2.6655543],1.4837161],-0.6386496],0.1190498],-4.8417735],,
9365,2.6655645],1.5951065],-0.64750195],0.04842891],-4.726582],,
4850,2.6656382],1.2975267],-0.6849741],0.24375345],-4.932853],,
8465,2.6656487],1.419212],-0.5912165],0.11943705],-5.0063643],,
7970,2.665678],1.2602617],-0.5423945],0.12190159],-5.1045604],,
9662,2.6658237],1.4770128],-0.636266],0.04918547],-4.7431684],,
10352,2.6658237],1.4252626],-0.63394386],0.12028171],-5.116407],,
6437,2.6658506],1.45942],-0.6180552],0.11922272],-5.0162787],,
9176,2.6658723],1.4861946],-0.6374321],0.04837956],-4.7807865],,
2894,2.665991],1.199019],-0.6145725],0.11427917],-4.7962265],,
1172,2.666056],1.2320641],-0.5756019],0.06397499],-4.537028],,
7538,2.6661384],1.2460256],-0.5987785],0.12115653],-4.912151],,
5624,2.6661506],1.3185617],-0.6642432],0.18539275],-4.9861226],,
11363,2.666181],1.4668208],-0.6496459],0.11011137],-4.799885],,
3998,2.6661913],1.1700848],-0.61570567],0.10781749],-4.7341514],,
4526,2.6662166],1.369916],-0.6894442],0.24386825],-4.93424],,
10619,2.6663892],1.310434],-0.6837888],0.13804848],-5.113666],,
11978,2.6664586],1.2475401],-0.69746745],0.1995277],-5.156048],,
4814,2.6664917],1.307932],-0.67868406],0.18922438],-4.952929],,
5408,2.666504],1.3586379],-0.66932404],0.18515445],-4.9794974],,
11186,2.6665456],1.294809],-0.71189195],0.12608947],-5.029982],,
7865,2.6665614],1.2492763],-0.64789456],0.1269051],-5.150992],,
128,2.666632],1.0842137],-0.5356814],0.07601477],-3.555172],,
6251,2.6666653],1.5241505],-0.63381535],0.04882903],-4.7261367],,
4823,2.6666927],1.2820631],-0.686425],0.24376394],-4.940444],,
5978,2.6667612],1.4520148],-0.6327448],0.11936273],-4.921326],,
10979,2.666775],1.2567445],-0.7111132],0.24423786],-4.9956503],,
8945,2.6667776],1.3749639],-0.69995916],0.18996336],-5.075459],,
11132,2.666798],1.3192583],-0.71716374],0.18974902],-5.1389966],,
5651,2.6668284],1.3508893],-0.68248755],0.19014277],-4.9480667],,
5801,2.6670225],1.5349296],-0.6415051],0.0484385],-4.728401],,
6923,2.6670706],1.2771074],-0.6381778],0.05482991],-5.1873717],,
8621,2.667096],1.2272143],-0.6516509],0.1241789],-5.285787],,
11411,2.6672006],1.2695676],-0.69809985],0.17901184],-5.174825],,
8306,2.667361],1.21045],-0.6961479],0.18123962],-5.187057],,
6893,2.667415],1.2021405],-0.71047],0.12503822],-5.1586146],,
287,2.6674175],0.978163],-0.6041949],0.08936156],-4.2407727],,
4019,2.66748],1.4063672],-0.64560497],0.11020829],-4.482734],,
1763,2.6674883],1.2265837],-0.67448163],0.16237153],-4.664121],,
1292,2.66753],1.316175],-0.67059064],0.10026546],-4.074675],,
10784,2.6676552],1.3957204],-0.6324551],0.11343493],-5.0377965],,
6449,2.667775],1.5783044],-0.62940276],0.04806019],-4.71806],,
9737,2.6679301],1.2938193],-0.68844265],0.24559738],-5.0430274],,
4358,2.6680207],1.2822913],-0.59782755],0.04963745],-4.8432956],,
4964,2.6680825],1.542553],-0.6406956],0.04780926],-4.767782],,
8108,2.6681206],1.2396996],-0.7229673],0.12534149],-5.103556],,
7997,2.6681483],1.269026],-0.5522429],0.12117966],-5.1008086],,
4451,2.668248],1.5817021],-0.64909124],0.04795797],-4.657403],,
3809,2.6683047],1.2634948],-0.65507185],0.10281862],-4.502254],,
218,2.6683552],1.1606711],-0.61630297],0.10633315],-3.7452364],,
2417,2.6683662],1.3015326],-0.65784955],0.1114365],-4.633801],,
7280,2.668451],1.1596211],-0.70363617],0.21683408],-5.195638],,
2777,2.6685028],1.3377477],-0.6602757],0.11176898],-4.5455923],,
9782,2.66853],1.3298177],-0.67547584],0.1253192],-5.1479697],,
9386,2.6685936],1.3238176],-0.691516],0.24442936],-5.1526566],,
8792,2.6686544],1.3375032],-0.7018889],0.24446519],-4.9412026],,
6098,2.668683],1.5167636],-0.62335134],0.04796739],-4.7281466],,
3533,2.6687057],1.4588913],-0.62817067],0.0430025],-4.474583],,
11870,2.6687415],1.2156891],-0.68742895],0.18047549],-5.1683993],,
2366,2.6687567],1.0684813],-0.70356905],0.20942272],-4.834391],,
3329,2.6688273],1.238294],-0.6879805],0.10136153],-4.8220873],,
4667,2.668838],1.5142576],-0.6427202],0.04775812],-4.6874385],,
4499,2.6688492],1.3824366],-0.690926],0.24387963],-4.9352393],,
1832,2.6688695],1.4719324],-0.6267588],0.04275019],-4.457024],,
9971,2.6689608],1.3226151],-0.71532977],0.19058503],-5.0175114],,
650,2.6690385],1.232577],-0.63106346],0.10521688],-4.0773034],,
1346,2.6690404],1.3254892],-0.6448058],0.10125162],-4.1561713],,
3221,2.6691697],1.2315811],-0.67787576],0.10138692],-4.8501215],,
9338,2.6692429],1.5251733],-0.6435199],0.04837795],-4.7786074],,
2171,2.6692803],1.3891364],-0.6256411],0.11310191],-4.6636386],,
9014,2.6693337],1.4834627],-0.6381726],0.04839398],-4.7229075],,
7730,2.6693652],1.2274331],-0.5831742],0.12800421],-5.2325606],,
5597,2.669396],1.3254135],-0.7006234],0.19005246],-4.908],,
13076,2.6694102],1.2462109],-0.6407406],0.12489547],-5.223007],,
1811,2.6694586],1.2528608],-0.61485523],0.09608896],-4.6153255],,
10769,2.6695101],1.5233842],-0.65107954],0.04897983],-4.671986],,
10121,2.6695523],1.5445539],-0.65978825],0.04936118],-4.6705766],,
10526,2.669685],1.5155374],-0.65157497],0.0487584],-4.6871963],,
7718,2.6697395],1.3925527],-0.6012726],0.11809744],-4.856774],,
8879,2.669756],1.6084908],-0.6458962],0.04848547],-4.697718],,
56,2.669848],1.0535401],-0.60544527],0.08236523],-3.2138143],,
2678,2.669875],1.2059901],-0.69321865],0.11398692],-4.604264],,
11384,2.6698828],1.2542094],-0.69594884],0.17900987],-5.172976],,
8654,2.6698873],1.4134241],-0.6067509],0.11913331],-4.925211],,
11660,2.6699512],1.4849967],-0.67877805],0.11467923],-4.6653576],,
12320,2.6699784],1.2500094],-0.7154732],0.1288674],-5.1223273],,
13085,2.6700027],1.2154435],-0.6474416],0.17948385],-5.207449],,
11066,2.6700704],1.5530328],-0.65708923],0.10120113],-4.720157],,
7520,2.6700995],1.4426764],-0.60315305],0.11886187],-4.893127],,
6515,2.670129],1.3532],-0.6680244],0.18948211],-5.002952],,
9812,2.6702034],1.372697],-0.63153017],0.05486257],-5.0527997],,
11513,2.6702294],1.4123434],-0.6461544],0.06593896],-5.020389],,
2042,2.6702807],1.2195939],-0.6697668],0.2087517],-4.659715],,
12194,2.6702952],1.2215098],-0.69072926],0.18072535],-5.168881],,
7568,2.670381],1.2653432],-0.62156796],0.12668349],-5.177194],,
4679,2.6705334],1.3222078],-0.68491256],0.18926515],-4.9329143],,
9896,2.6706274],1.4932095],-0.6452786],0.05031396],-4.7584753],,
9950,2.6706421],1.4618977],-0.5851389],0.05033179],-4.9417853],,
10025,2.6706712],1.3485514],-0.6905336],0.1753573],-5.133907],,
95,2.6706786],1.1233764],-0.6023092],0.07738514],-3.5283244],,
12485,2.6706915],1.3567632],-0.6592507],0.05830927],-4.9890065],,
11201,2.670746],1.4545016],-0.6523714],0.11012341],-4.7353983],,
11141,2.6707592],1.2812262],-0.70891017],0.24433757],-5.1242366],,
2291,2.6707983],1.3252585],-0.65529287],0.11141713],-4.526665],,
4787,2.6708648],1.3421379],-0.6951288],0.18928547],-4.9095855],,
5732,2.6708896],1.3099457],-0.66858447],0.18543406],-5.0203767],,
9998,2.6709774],1.302493],-0.6686581],0.1251523],-5.1562095],,
8429,2.6709778],1.2668619],-0.657213],0.12124373],-4.9213204],,
2273,2.6709926],1.147114],-0.6432401],0.11427261],-4.648928],,
2525,2.6710184],1.3361206],-0.60858834],0.11274518],-4.515635],,
2474,2.671457],1.1419288],-0.63453835],0.14691158],-4.896063],,
1934,2.6715553],1.2054405],-0.67603135],0.20601167],-4.708996],,
9674,2.6715744],1.2898797],-0.67377275],0.12507786],-5.1616693],,
8999,2.6716173],1.3283793],-0.704147],0.19005479],-4.992211],,
9959,2.6717696],1.5482928],-0.66244185],0.04921438],-4.6612735],,
8546,2.6717935],1.4493517],-0.6613164],0.11885782],-4.905149],,
11087,2.671812],1.2630091],-0.7001864],0.23973037],-5.163673],,
11375,2.6718338],1.2871921],-0.6885284],0.12442137],-5.173042],,
6092,2.6718962],1.3216895],-0.6673371],0.24406148],-4.9292617],,
4652,2.6720095],1.3088396],-0.6800147],0.18922378],-4.942284],,
200,2.6720607],1.1873981],-0.6099853],0.0919999],-3.9545662],,
638,2.6721158],1.1151017],-0.67627704],0.17483886],-4.3804045],,
3680,2.6721163],1.2300125],-0.6949314],0.16152419],-4.868325],,
1871,2.6721914],1.2595735],-0.68151754],0.16175641],-4.644495],,
788,2.6722178],1.095024],-0.63262695],0.10485972],-4.4246306],,
362,2.6723864],1.1438135],-0.5810546],0.03420742],-4.163488],,
11816,2.6725013],1.2155604],-0.69283515],0.18111785],-5.1737533],,
6218,2.672549],1.3629081],-0.6695241],0.18956764],-5.0126824],,
7172,2.6726294],1.1528641],-0.69458103],0.17905612],-5.1897206],,
8954,2.672677],1.3362151],-0.69846904],0.24450292],-5.058147],,
2867,2.6726875],1.1928594],-0.5998905],0.11353125],-4.802083],,
4031,2.6727273],1.1831797],-0.64690065],0.10106404],-4.9189696],,
2852,2.672777],1.152062],-0.6985874],0.21007062],-4.8343844],,
1751,2.6728132],1.4477471],-0.64383864],0.04266419],-4.4155316],,
8738,2.6728191],1.1986326],-0.66198534],0.19600399],-5.2158194],,
12428,2.6728575],1.2949609],-0.7185439],0.19046111],-5.099646],,
3776,2.6729264],1.4701391],-0.6537967],0.10390486],-4.438371],,
10013,2.6729553],1.5529774],-0.65743375],0.0494941],-4.711346],,
5492,2.6729832],1.4064189],-0.6120875],0.11498578],-5.010883],,
11012,2.6730406],1.5179056],-0.66759384],0.10125007],-4.6744933],,
5633,2.6730654],1.2826296],-0.6728313],0.23993327],-4.972752],,
932,2.6731288],1.2801868],-0.588258],0.10458721],-4.361528],,
9539,2.6731317],1.320361],-0.7021477],0.19091292],-5.070091],,
6863,2.673148],1.2266048],-0.64350593],0.12055768],-5.00361],,
6845,2.673154],1.3562423],-0.637793],0.11850245],-4.934093],,
3209,2.6732287],1.451114],-0.6490882],0.04367746],-4.415572],,
6656,2.6732843],1.3303596],-0.66294926],0.11783512],-4.7833],,
7781,2.6733124],1.2669984],-0.6335732],0.12041827],-4.888723],,
227,2.6733158],1.2088662],-0.6125326],0.09309156],-3.8988843],,
3479,2.6734226],1.4430357],-0.65004665],0.04304363],-4.389256],,
6971,2.6734483],1.2233751],-0.64514065],0.1205699],-4.9286246],,
2489,2.6734755],1.2239926],-0.58946854],0.11458303],-4.7057815],,
10166,2.6735144],1.4528673],-0.5655361],0.04999675],-4.9975157],,
7469,2.673527],1.2133821],-0.64379895],0.24555965],-5.061854],,
12293,2.6735654],1.2525215],-0.6482685],0.12616558],-5.204182],,
4133,2.673605],1.2732073],-0.66345966],0.10765292],-4.4803214],,
12353,2.6736195],1.4148362],-0.5801735],0.1178983],-4.992033],,
11228,2.673622],1.5034705],-0.66282773],0.11026974],-4.700915],,
11705,2.6737],1.434759],-0.6344107],0.11669464],-4.8712926],,
3545,2.6737142],1.2208838],-0.6341958],0.1181732],-4.8828773],,
5423,2.6739404],1.4940016],-0.6436124],0.04850592],-4.7539535],,
7754,2.6739452],1.2472967],-0.54338175],0.12222303],-5.1043944],,
4937,2.6739604],1.5895998],-0.65157616],0.04789414],-4.65908],,
1280,2.6739619],1.2899889],-0.633127],0.06187911],-4.442235],,
9188,2.6739876],1.3164829],-0.68363583],0.19006439],-5.1630874],,
9197,2.6740434],1.2821833],-0.69135153],0.24460389],-5.1569376],,
6470,2.6740954],1.3165197],-0.67545044],0.24395706],-4.9980183],,
9683,2.6741214],1.2484311],-0.68167675],0.1796173],-5.1605487],,
1313,2.674146],1.0363587],-0.69092345],0.11629398],-4.5271463],,
5747,2.6741874],1.5395238],-0.6456106],0.04844643],-4.6725264],,
8267,2.6742594],1.2606728],-0.6604129],0.12115021],-4.9057913],,
5924,2.6742864],1.4255499],-0.63801855],0.11922862],-4.855616],,
1502,2.6743743],1.294251],-0.6894505],0.20857371],-4.644629],,
1334,2.674409],1.1729771],-0.59403753],0.03999712],-4.5818477],,
11525,2.674469],1.5081868],-0.64740944],0.10113467],-4.808356],,
8864,2.6745422],1.3561902],-0.68962485],0.19000144],-5.102024],,
8825,2.6745481],1.5881757],-0.65192723],0.04849829],-4.665541],,
7079,2.6745675],1.2319473],-0.65901244],0.11978425],-5.0032945],,
2732,2.674671],1.2463187],-0.6674753],0.11402334],-4.6872587],,
2849,2.6746938],1.3765993],-0.68218887],0.1119339],-4.4612117],,
10298,2.6748016],1.4002227],-0.64079297],0.12013616],-4.976012],,
6710,2.6749227],1.3318876],-0.65274155],0.11765935],-4.9011683],,
9899,2.6749873],1.3000146],-0.67592096],0.23215891],-5.1162333],,
1601,2.6749918],1.2638112],-0.6833893],0.16416956],-4.6597767],,
9527,2.675008],1.5302857],-0.6570035],0.04939742],-4.697447],,
10655,2.6750164],1.239262],-0.63861716],0.19254018],-5.1805396],,
11564,2.6750884],1.3463475],-0.69084316],0.13640733],-5.1607413],,
4067,2.6752017],1.1766865],-0.6897071],0.20071794],-4.827079],,
7196,2.675337],1.3641241],-0.6355126],0.11771943],-4.9344935],,
4337,2.6753767],1.1526951],-0.6474093],0.14538522],-4.9136233],,
668,2.6754158],1.304378],-0.62390065],0.13175876],-4.155293],,
11240,2.6755002],1.293532],-0.6957281],0.12439354],-5.116759],,
5792,2.6755767],1.466257],-0.605816],0.04923989],-4.883378],,
2753,2.6756194],1.0117267],-0.70485014],0.15862103],-4.7205234],,
9041,2.6756427],1.5366535],-0.64840645],0.04845901],-4.6914783],,
4517,2.6757896],1.4259819],-0.69321287],0.18938096],-4.9379396],,
2408,2.6758149],1.1579791],-0.6511091],0.11338438],-4.797113],,
2951,2.6758325],1.2808956],-0.6838056],0.16490479],-4.798102],,
11888,2.6758397],1.2712668],-0.7014846],0.1362424],-5.1456532],,
11930,2.6758978],1.429731],-0.6536811],0.11697723],-4.764819],,
11984,2.6759017],1.4448265],-0.6708266],0.11617406],-4.725586],,
1049,2.676034],1.3779511],-0.6537851],0.03615083],-4.0702677],,
3743,2.6761086],1.1563106],-0.69640696],0.14507975],-4.799175],,
3047,2.6762118],1.4994296],-0.6415838],0.04268999],-4.4231577],,
7484,2.6764],1.2928311],-0.5817151],0.12085195],-5.0390973],,
1556,2.6764562],1.1879935],-0.6823367],0.2084936],-4.6363564],,
5165,2.6764765],1.3093284],-0.6922823],0.1899745],-4.929324],,
11975,2.6764944],1.4672537],-0.65232253],0.11774595],-4.843411],,
7007,2.6765225],1.3622237],-0.6251726],0.11827393],-5.0179157],,
10646,2.6766317],1.2676148],-0.62997466],0.13800086],-5.1821284],,
11498,2.676754],1.5572749],-0.6656058],0.1011935],-4.6749964],,
9326,2.6768074],1.4430275],-0.64173996],0.11960532],-4.978437],,
10796,2.6768308],1.4913126],-0.62840366],0.04884334],-4.8260727],,
248,2.6770093],1.0057268],-0.6446791],0.09405018],-3.997562],,
12866,2.6770465],1.4331146],-0.5979521],0.11691917],-4.92384],,
3788,2.677099],1.2422527],-0.69323546],0.10066171],-4.8718224],,
4760,2.6771505],1.35317],-0.68179816],0.18926509],-4.9455094],,
3905,2.6771789],1.1491433],-0.7012898],0.21050848],-4.75275],,
11795,2.6771848],1.4946026],-0.654868],0.1154318],-4.7244716],,
2381,2.6771996],1.1626781],-0.62988436],0.11339696],-4.8007817],,
9224,2.677247],1.2975317],-0.6898713],0.24459262],-5.15549],,
6524,2.6773024],1.3133749],-0.6754035],0.24402137],-4.9868407],,
173,2.6773205],1.1603779],-0.618178],0.09264936],-3.855422],,
2246,2.6773329],1.1657165],-0.67518663],0.11336626],-4.703029],,
6410,2.6773384],1.4413215],-0.62448674],0.11918981],-4.8771214],,
10106,2.677346],1.2854327],-0.6329673],0.1250741],-5.1846437],,
12053,2.6773684],1.3126637],-0.5920905],0.05575372],-5.164594],,
8144,2.677522],1.2148687],-0.7017175],0.17999382],-5.1827693],,
6683,2.677595],1.3522335],-0.6405968],0.11754937],-4.9777746],,
6110,2.6780136],1.3555253],-0.6678051],0.18949164],-4.981047],,
3269,2.6780787],1.2231429],-0.6006317],0.09068228],-4.736089],,
7631,2.6781156],1.2008352],-0.63721395],0.18072571],-5.1703563],,
2813,2.6781566],1.1940135],-0.6013869],0.11511518],-4.797043],,
4064,2.6781785],1.37486],-0.65964407],0.11049266],-4.4593925],,
13022,2.6782615],1.2735378],-0.6435282],0.12471111],-5.2027116],,
326,2.6782947],1.1372201],-0.6371261],0.09576853],-3.7123618],,
12590,2.6783187],1.3169024],-0.6961622],0.1886474],-5.1546855],,
10457,2.6784132],1.3112117],-0.69636285],0.1451828],-5.0604496],,
7835,2.678467],1.324965],-0.6042414],0.120515],-4.967949],,
10007,2.678571],1.2588083],-0.68022144],0.17969282],-5.158825],,
2798,2.6785786],1.1239814],-0.65819085],0.14546742],-4.939011],,
7163,2.678582],1.1787822],-0.6884817],0.12446822],-5.1929326],,
257,2.6785867],1.12778],-0.6545121],0.09128357],-3.8467412],,
6395,2.678593],1.552898],-0.6409762],0.0480193],-4.6665],,
8357,2.6786325],1.4321946],-0.6739709],0.11904044],-4.7962646],,
5585,2.6786587],1.5615267],-0.65131676],0.04846044],-4.668533],,
6803,2.6786604],1.034317],-0.69458425],0.2546109],-4.954954],,
10844,2.6787722],1.2655152],-0.64332896],0.23823906],-5.179746],,
242,2.678792],0.816076],-0.7043276],0.09311868],-4.0973334],,
2354,2.6788194],1.152058],-0.66770697],0.1135105],-4.6271586],,
10679,2.6789727],1.4675226],-0.5821283],0.04948904],-4.929447],,
1046,2.678982],1.3183674],-0.63313144],0.10791416],-4.3310385],,
563,2.6790557],1.3873323],-0.64538234],0.03527887],-4.0767446],,
5003,2.6792934],1.4230531],-0.6835725],0.18933357],-4.9404025],,
551,2.6793044],1.3578111],-0.6296859],0.10435797],-4.2225113],,
1685,2.679308],1.4255656],-0.64070755],0.11291374],-4.6030965],,
5057,2.6793578],1.3931315],-0.6855624],0.189299],-4.948332],,
11213,2.6794171],1.2817677],-0.6906949],0.12442078],-5.1326203],,
560,2.6794276],1.3571953],-0.63064456],0.11172529],-4.153196],,
4151,2.6794453],1.3269664],-0.66726565],0.10737146],-4.6095614],,
7349,2.6795065],1.2963457],-0.62921363],0.12041439],-4.943827],,
6899,2.679546],1.3760774],-0.65936375],0.11863966],-4.803067],,
5498,2.6795583],1.2728537],-0.67247474],0.2396362],-5.027535],,
6173,2.679623],1.2952725],-0.66885495],0.24408533],-4.9518228],,
497,2.6796322],1.3302276],-0.63508844],0.10425694],-4.2241673],,
11822,2.6797178],1.4867015],-0.67570376],0.11521389],-4.6696944],,
5639,2.6797338],1.5597453],-0.6455475],0.04843946],-4.7014246],,
10601,2.6797338],1.2530407],-0.6385037],0.19252361],-5.182962],,
1481,2.6797645],1.4770426],-0.63630074],0.04216029],-4.4358006],,
5222,2.679847],1.3929394],-0.621048],0.11526753],-4.976435],,
8900,2.6799388],1.3177179],-0.69223017],0.24452914],-5.085803],,
12059,2.6799672],1.1875762],-0.65482044],0.1801715],-5.21582],,
2789,2.6799815],1.1561357],-0.65005517],0.10109051],-5.0242257],,
9026,2.6799858],1.3146257],-0.6843338],0.19006373],-5.1024647],,
1103,2.6799986],1.3898771],-0.63471556],0.03634597],-4.151062],,
3911,2.6800933],1.35296],-0.65200573],0.10962154],-4.4562316],,
3902,2.6802154],1.3500746],-0.66427916],0.10998489],-4.451986],,
7700,2.6802173],1.2565612],-0.5920796],0.12125017],-4.926875],,
5255,2.680234],1.2607776],-0.6824054],0.24000706],-4.960586],,
2705,2.6802688],1.2152547],-0.63769656],0.114388],-4.727569],,
12983,2.6803486],1.4612705],-0.64322597],0.11265554],-4.826712],,
9311,2.6803575],1.5949336],-0.6545658],0.04843475],-4.6627636],,
10082,2.680419],1.3652685],-0.5802517],0.05476882],-5.190602],,
5369,2.6804626],1.5063347],-0.62960905],0.04838963],-4.7494836],,
3872,2.680493],1.3498551],-0.6485802],0.11229356],-4.8232026],,
7577,2.6805356],1.2208602],-0.63292104],0.18129016],-5.1935964],,
4661,2.680556],1.2738932],-0.68639076],0.2437643],-4.9318857],,
10958,2.6806014],1.4690484],-0.66430074],0.10106249],-4.7129927],,
12599,2.6806161],1.2766808],-0.6947191],0.24323596],-5.140263],,
10577,2.6806238],1.378455],-0.5778043],0.07171489],-5.168363],,
11051,2.6807039],1.3050617],-0.70094246],0.18513955],-5.165816],,
3656,2.6807287],1.3075246],-0.67906916],0.11287518],-4.588284],,
7385,2.6807716],1.3994823],-0.6149844],0.11903711],-4.7909923],,
5153,2.6808183],1.5242794],-0.65155673],0.04841937],-4.7041183],,
3977,2.6808302],1.1922193],-0.69778144],0.1030692],-4.8562],,
890,2.6808412],0.9477332],-0.70485055],0.17758437],-4.37454],,
9053,2.6808636],1.328929],-0.68918145],0.1900704],-5.077476],,
9629,2.6809347],1.2592806],-0.6863606],0.17957892],-5.1667576],,
4229,2.6809356],1.1355728],-0.69282097],0.14583077],-4.8524356],,
13064,2.6809413],1.4330391],-0.6436309],0.11254145],-4.815496],,
10133,2.6810396],1.2851572],-0.70111156],0.12817217],-5.124349],,
4328,2.6811585],1.1835638],-0.6380446],0.10100754],-4.9330482],,
12686,2.6812098],1.4928142],-0.66505736],0.11542638],-4.699679],,
8135,2.6813004],1.247001],-0.70169604],0.12540592],-5.182008],,
12698,2.68131],1.2873229],-0.6865096],0.12540026],-5.1556873],,
12767,2.681349],1.498375],-0.64822686],0.11568661],-4.767507],,
12815,2.6813517],1.2617697],-0.68872786],0.23244335],-5.120251],,
4715,2.681448],1.29447],-0.6804924],0.24378677],-4.9196887],,
11348,2.681492],1.3152394],-0.70856637],0.1243595],-5.088095],,
11321,2.681515],1.3331839],-0.69157875],0.12439342],-5.1599445],,
7943,2.681564],1.2576517],-0.6180372],0.12113537],-4.91503],,
12470,2.681565],1.5016026],-0.67598855],0.11098738],-4.664042],,
12653,2.6817107],1.2469201],-0.6994008],0.24576475],-5.0433917],,
3290,2.6817515],1.454718],-0.6317934],0.04384495],-4.4830265],,
3668,2.68176],1.4058206],-0.6515051],0.09492899],-4.4518666],,
1469,2.681774],1.3934968],-0.663038],0.11282368],-4.544887],,
1724,2.6818678],1.4023811],-0.634747],0.04255684],-4.4535227],,
761,2.6818702],1.0893618],-0.6278628],0.10550626],-4.4412084],,
5417,2.6819484],1.316481],-0.6756246],0.24429901],-4.95723],,
2429,2.6819654],1.0116583],-0.64466035],0.2180915],-4.6691213],,
1421,2.6819787],1.0575837],-0.65147644],0.11543365],-4.5858264],,
10580,2.6820982],1.5361356],-0.63165057],0.04872216],-4.77237],,
4736,2.682142],1.4183977],-0.62873507],0.11893816],-4.961389],,
3521,2.6822355],1.3087381],-0.57855237],0.06662346],-4.8916187],,
2939,2.682295],1.4672333],-0.6368541],0.04277952],-4.4284806],,
12383,2.6822953],1.1967586],-0.65471387],0.18164279],-5.1984096],,
6503,2.682326],1.5097607],-0.62031746],0.04798879],-4.767855],,
8090,2.6823428],1.2470872],-0.717659],0.2450986],-5.070927],,
11876,2.682422],1.5019993],-0.66595024],0.11520638],-4.720593],,
5234,2.6824877],1.5350202],-0.63998985],0.04837801],-4.7074866],,
1028,2.6824958],1.2213103],-0.6445034],0.11692561],-4.177165],,
12659,2.6825488],1.4335686],-0.6528093],0.1158113],-4.742856],,
8873,2.682595],1.3273305],-0.6935617],0.24454053],-5.088202],,
11060,2.6826942],1.2767249],-0.7020902],0.23972763],-5.165256],,
7664,2.6828663],1.4590367],-0.60389245],0.1176507],-4.807625],,
10499,2.6828997],1.5261323],-0.64524657],0.04876323],-4.7028766],,
3059,2.6830726],1.2702063],-0.68827045],0.16498931],-4.860245],,
9161,2.6831353],1.3451711],-0.70141125],0.19003643],-5.0446706],,
9473,2.6831434],1.551844],-0.6602427],0.0488431],-4.652678],,
8600,2.6831522],1.420071],-0.67917097],0.11903645],-4.7845006],,
7871,2.6832747],1.4100562],-0.61551225],0.11904259],-4.7988224],,
7142,2.683334],1.3617377],-0.6612729],0.1178952],-4.7927656],,
12269,2.6834338],1.3259772],-0.5955794],0.05575688],-5.193447],,
2510,2.6834934],1.0203693],-0.6449692],0.15867676],-4.726883],,
983,2.6835191],1.2880915],-0.637164],0.10481073],-4.310138],,
11618,2.6835957],1.3089265],-0.7000232],0.18831094],-5.1743636],,
8036,2.6836197],1.2379273],-0.7138684],0.24450757],-4.9650683],,
3665,2.6836607],1.3375095],-0.6631658],0.10233308],-4.534759],,
584,2.6837204],1.0868236],-0.6729263],0.17565615],-4.333474],,
9608,2.683729],1.5488037],-0.643479],0.04936178],-4.7215466],,
467,2.6840856],1.0421649],-0.6381364],0.06202151],-4.226064],,
4397,2.6841013],1.5288198],-0.6467396],0.04790045],-4.721078],,
7808,2.6841233],1.302647],-0.58417666],0.12122555],-5.008243],,
5759,2.6841714],1.2985504],-0.68933374],0.18790431],-4.9377837],,
1070,2.6842678],1.0849855],-0.67967176],0.11528994],-4.5037665],,
10403,2.684273],1.3447496],-0.6881653],0.19035085],-5.1474633],,
9134,2.6843183],1.3577292],-0.68690693],0.19007029],-5.1490717],,
335,2.6844075],1.1632663],-0.6232467],0.09342881],-4.018781],,
617,2.6844096],1.4129115],-0.6300483],0.03529914],-4.098188],,
